cust_id,contact_type,duration,contact_num,p_days,p_outcome,y,date
44715,cellular,108,2,999,nonexistent,no,2008-08-02
62194,telephone,422,5,999,nonexistent,no,2008-06-03
25436,cellular,107,13,999,nonexistent,no,2008-07-16
39633,cellular,311,1,999,nonexistent,no,2008-07-15
92803,cellular,51,1,999,nonexistent,no,2008-11-09
66942,cellular,462,1,999,nonexistent,no,2008-08-04
25877,telephone,50,3,999,nonexistent,no,2008-05-22
4146,cellular,281,1,999,nonexistent,no,2008-11-17
17401,cellular,78,1,999,failure,no,2009-10-20
17825,telephone,345,9,999,nonexistent,no,2008-05-28
92128,telephone,139,4,999,nonexistent,no,2008-07-29
32821,cellular,103,1,999,nonexistent,no,2008-08-21
86589,cellular,166,1,999,nonexistent,no,2008-08-26
34342,cellular,141,2,999,nonexistent,no,2009-05-16
76702,telephone,306,4,999,nonexistent,no,2008-06-28
69474,telephone,232,1,999,nonexistent,no,2008-05-17
41263,cellular,295,1,999,nonexistent,no,2008-08-27
35385,telephone,54,3,999,nonexistent,no,2008-05-11
3398,telephone,290,1,999,nonexistent,no,2008-05-16
91978,cellular,401,2,999,nonexistent,yes,2010-10-11
44317,cellular,389,2,999,nonexistent,no,2008-08-09
97890,cellular,246,4,999,nonexistent,no,2008-07-04
49290,telephone,572,4,999,nonexistent,no,2008-06-14
6614,cellular,307,1,999,nonexistent,no,2008-07-28
57446,cellular,77,3,999,nonexistent,no,2008-11-02
47600,telephone,320,3,999,nonexistent,no,2008-05-06
70893,telephone,187,1,999,nonexistent,no,2008-06-09
50644,cellular,18,40,999,nonexistent,no,2008-07-25
60991,telephone,158,4,999,nonexistent,no,2008-05-02
48525,cellular,417,1,999,nonexistent,yes,2009-06-09
46673,telephone,590,4,999,nonexistent,no,2008-06-21
25358,telephone,109,3,999,nonexistent,no,2008-07-29
24087,cellular,358,3,999,nonexistent,no,2008-11-26
94466,cellular,480,2,999,nonexistent,no,2009-05-10
65914,cellular,249,4,999,failure,no,2009-05-07
50214,cellular,160,3,999,nonexistent,no,2008-08-06
6794,telephone,136,2,999,nonexistent,no,2008-05-13
34093,cellular,381,4,999,nonexistent,no,2008-08-28
82461,cellular,167,4,999,nonexistent,no,2009-05-28
14280,cellular,214,2,999,nonexistent,no,2010-09-08
9850,cellular,129,2,999,nonexistent,no,2008-11-13
90237,telephone,90,4,999,nonexistent,no,2008-05-08
38716,cellular,168,1,999,nonexistent,no,2009-05-06
64162,cellular,81,4,999,nonexistent,no,2008-07-03
55368,telephone,166,2,999,nonexistent,no,2008-05-24
34479,telephone,165,4,999,nonexistent,no,2008-06-09
55351,cellular,844,2,6,success,no,2010-07-04
36214,cellular,74,8,999,nonexistent,no,2008-08-09
54698,cellular,259,3,999,nonexistent,no,2008-08-21
15706,cellular,790,1,999,nonexistent,no,2008-08-23
79530,telephone,80,2,999,nonexistent,no,2008-07-15
6002,telephone,275,4,999,nonexistent,no,2008-05-12
96318,cellular,262,2,999,nonexistent,yes,2009-06-01
11593,telephone,153,1,999,nonexistent,no,2008-07-16
39474,telephone,884,4,999,nonexistent,yes,2008-06-08
70458,cellular,197,1,999,nonexistent,no,2009-05-26
21886,telephone,318,1,999,nonexistent,no,2008-05-23
82765,cellular,107,3,999,failure,no,2009-05-19
88412,telephone,72,1,999,nonexistent,no,2008-05-28
51147,cellular,68,2,999,failure,no,2009-05-05
90011,cellular,90,3,999,nonexistent,no,2008-07-28
60717,cellular,128,1,999,nonexistent,no,2008-08-27
86923,telephone,156,1,999,nonexistent,no,2008-06-06
31572,telephone,319,1,999,nonexistent,no,2008-05-28
99405,cellular,454,2,999,nonexistent,no,2008-08-28
5998,cellular,190,9,999,nonexistent,no,2008-08-21
62323,telephone,5,1,999,nonexistent,no,2008-11-20
17556,cellular,714,5,999,nonexistent,yes,2008-08-27
76790,telephone,107,2,999,nonexistent,no,2008-05-02
56175,cellular,19,1,999,failure,no,2009-05-22
99460,cellular,240,1,999,nonexistent,no,2008-08-21
83426,telephone,9,1,999,nonexistent,no,2010-09-21
24570,telephone,658,2,999,nonexistent,no,2008-06-09
20142,cellular,271,2,999,nonexistent,yes,2009-03-18
11999,cellular,368,2,3,success,yes,2009-11-05
57863,cellular,161,1,999,nonexistent,no,2008-11-14
92406,cellular,275,2,999,failure,yes,2010-06-07
86904,cellular,122,1,999,failure,no,2008-11-26
28924,telephone,119,1,999,nonexistent,no,2008-05-21
27217,telephone,167,3,999,nonexistent,no,2008-05-10
32011,cellular,499,1,999,nonexistent,no,2008-08-30
73972,telephone,180,1,999,nonexistent,no,2010-06-12
70163,cellular,40,5,999,nonexistent,no,2008-07-05
46146,telephone,221,2,999,nonexistent,no,2008-05-17
48938,cellular,169,1,999,nonexistent,yes,2009-09-19
70253,telephone,390,3,999,nonexistent,no,2008-05-22
91875,cellular,786,1,999,nonexistent,no,2009-11-24
70251,telephone,145,1,999,nonexistent,no,2008-05-19
45505,telephone,367,2,999,nonexistent,no,2008-06-01
27513,telephone,51,1,999,nonexistent,no,2008-07-22
46035,cellular,388,2,999,nonexistent,no,2008-07-19
15103,cellular,241,2,999,nonexistent,no,2008-07-24
41021,cellular,56,1,999,nonexistent,no,2008-11-20
59162,cellular,113,1,999,nonexistent,no,2009-05-03
30848,cellular,186,2,999,nonexistent,no,2008-08-29
19304,telephone,171,2,999,failure,no,2010-07-14
99763,cellular,64,2,999,nonexistent,no,2008-07-06
97932,telephone,72,3,999,nonexistent,no,2008-06-06
76531,cellular,431,1,999,failure,no,2010-03-03
38053,cellular,216,1,3,success,yes,2010-05-09
4186,cellular,109,5,999,nonexistent,no,2008-07-04
67575,cellular,850,1,999,nonexistent,yes,2009-05-08
98857,cellular,852,9,999,nonexistent,yes,2008-07-12
47400,cellular,206,6,999,nonexistent,no,2008-07-09
90415,cellular,72,1,999,nonexistent,no,2008-08-10
22988,cellular,167,1,999,nonexistent,no,2008-11-25
95965,cellular,97,1,999,failure,no,2009-05-05
97395,cellular,130,3,999,nonexistent,no,2008-08-17
87809,telephone,78,6,999,nonexistent,no,2008-06-21
58503,telephone,30,1,999,nonexistent,no,2008-11-10
29923,cellular,46,1,999,nonexistent,no,2008-07-05
49327,cellular,715,2,999,nonexistent,no,2008-11-22
542,cellular,84,1,6,success,yes,2009-10-11
48722,cellular,118,4,999,nonexistent,no,2008-11-26
8333,cellular,162,1,999,failure,no,2009-05-02
61147,cellular,66,4,999,failure,no,2009-05-10
23883,telephone,193,6,999,nonexistent,no,2008-05-02
61050,cellular,62,4,999,nonexistent,no,2008-08-18
63735,telephone,370,1,999,nonexistent,no,2008-05-29
32470,cellular,285,1,999,nonexistent,yes,2009-04-05
15399,cellular,394,3,14,success,yes,2010-10-14
89992,cellular,85,1,999,nonexistent,no,2008-07-28
60821,telephone,125,3,999,nonexistent,no,2008-05-12
22676,cellular,148,1,999,nonexistent,no,2008-08-08
12329,telephone,119,1,999,nonexistent,no,2008-06-25
39154,cellular,73,1,999,nonexistent,no,2008-08-12
56413,telephone,56,1,999,nonexistent,no,2008-11-29
96962,cellular,221,1,999,nonexistent,no,2009-06-23
3726,cellular,201,1,3,success,yes,2010-03-22
5939,cellular,123,1,999,nonexistent,no,2009-10-30
37691,telephone,166,1,999,nonexistent,no,2008-05-24
85157,cellular,92,4,999,failure,no,2009-05-12
89066,cellular,66,1,999,failure,no,2009-05-24
76235,cellular,684,1,999,nonexistent,no,2008-07-19
89474,telephone,145,3,999,nonexistent,no,2008-05-30
904,cellular,38,2,999,nonexistent,no,2008-11-14
73899,telephone,62,1,999,nonexistent,no,2008-05-11
16338,telephone,115,4,999,nonexistent,no,2008-07-14
41130,cellular,94,1,999,nonexistent,no,2008-07-15
72439,telephone,70,3,999,nonexistent,no,2008-05-16
16452,cellular,239,1,999,nonexistent,no,2008-08-26
22887,telephone,422,2,999,nonexistent,no,2008-05-13
59913,cellular,35,3,999,nonexistent,no,2008-07-04
40139,telephone,85,1,999,nonexistent,no,2008-05-15
91685,cellular,545,2,999,nonexistent,no,2008-07-12
91495,cellular,117,1,999,nonexistent,yes,2009-04-28
77803,telephone,126,4,999,nonexistent,no,2008-05-29
46856,cellular,247,2,999,nonexistent,no,2008-11-27
59557,telephone,156,1,999,nonexistent,no,2008-05-26
51107,telephone,60,20,999,nonexistent,no,2008-06-21
18675,cellular,1615,3,999,nonexistent,yes,2008-07-15
52517,telephone,60,1,999,nonexistent,no,2008-06-11
81838,cellular,729,4,999,nonexistent,no,2008-08-30
87896,telephone,343,2,999,nonexistent,no,2008-07-04
66458,telephone,175,5,999,nonexistent,no,2008-05-16
28112,cellular,128,1,999,nonexistent,no,2008-11-25
65931,cellular,195,6,999,nonexistent,no,2008-07-27
14174,cellular,164,1,999,failure,no,2009-05-02
75812,telephone,168,1,999,nonexistent,no,2008-05-11
25743,cellular,476,2,999,nonexistent,no,2009-05-06
54802,telephone,22,1,999,nonexistent,no,2008-05-17
1464,cellular,448,5,999,nonexistent,no,2008-07-15
92725,telephone,192,1,999,nonexistent,no,2008-05-11
71272,cellular,262,3,999,nonexistent,no,2009-05-08
76212,telephone,91,1,999,nonexistent,no,2008-05-19
42827,cellular,36,2,999,nonexistent,no,2008-07-02
19603,telephone,267,1,999,failure,no,2009-05-30
88519,cellular,435,1,999,nonexistent,yes,2009-04-07
54513,cellular,94,3,999,nonexistent,no,2008-07-17
73198,cellular,765,3,999,nonexistent,no,2009-04-12
11158,cellular,75,1,999,nonexistent,no,2008-07-16
91266,telephone,690,2,999,nonexistent,no,2008-06-26
23115,telephone,311,5,999,nonexistent,no,2008-06-12
41249,telephone,231,2,999,nonexistent,no,2008-05-20
55482,telephone,56,1,999,nonexistent,no,2009-04-16
49848,telephone,114,2,999,nonexistent,no,2008-05-08
22192,cellular,174,6,999,nonexistent,no,2008-07-05
79390,telephone,232,1,999,nonexistent,no,2008-06-01
29257,telephone,194,2,999,nonexistent,no,2008-05-14
95237,cellular,183,1,999,nonexistent,no,2008-08-05
72306,cellular,202,2,999,nonexistent,no,2008-08-02
33892,telephone,194,2,999,nonexistent,no,2008-05-02
89262,cellular,151,1,999,nonexistent,no,2009-05-17
13041,telephone,91,2,999,nonexistent,no,2008-06-15
49201,telephone,671,3,999,nonexistent,no,2008-05-11
